Titel,Projekt,Livsmedelsnummer,Vetenskapligt namn,Livsmedelsgrupp enligt EuroFIR,Artklassificering,Del av växt/djur,Fysisk form,Värmebehandling,Tillagningsmetod,Industriell process,Konserveringsmetod,Förpackningsmedium,Förpackningstyp,Förpackningsmaterial,Etikettinformation,Ursprung,Utmärkande drag
Talg nöt,1997 Nötkött,1,Bos taurus,Andra djurfetter (A0810),Nötkreatur (B1161),Fett eller olja (C0190),"Halvfast med mjuk konsistens, (mosad, bredbar) (E0119)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Industriell process inte känd (H0001),Kyld (J0131),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),
Späck gris,1989,2,Sus scrofa,Andra djurfetter (A0810),Gris (B1136),Kött del (C0103),"Halvfast med mjuk konsistens, (mosad, bredbar) (E0119)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Industriell process inte känd (H0001),Kyld (J0131),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),
Ister gris,1989,3,Sus scrofa,Andra djurfetter (A0810),Gris (B1136),Fett eller olja (C0190),"Halvfast med mjuk konsistens, (mosad, bredbar) (E0119)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Industriell process inte känd (H0001),Kyld (J0131),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),
Kokosfett,2010 Margariner,4,Cocos nucifera L,Vegetabiliskt fett och olja (A0806),Kokosnöt (B1536),Fett eller olja (C0190),"Halvfast med mjuk konsistens, (mosad, bredbar) (E0119)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Industriell process inte känd (H0001),Kyld (J0131),Utan förpackningsmedium (K0003),Aluminiumfolie (M0190),Aluminium (),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),
Matfettsblandning havssaltat fett 80% berikad typ Bregott,2001 Margarinprodukter,5,Bos taurus,Margarin och blandade fetter (A0807),Ko (B1201),Grädde el gräddkomponent (C0123),"Halvfast med mjuk konsistens, (mosad, bredbar) (E0119)",Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),"Alkalisera (H0206); Blekt- göra vit (H0197); Homogeniserad eller emulsifierad (H0306); Mjölksyra, andra kulturer fermenterad (H0107); Saltad (H0173); Vatten tillfört (H0148); Vitamin D tillförd (H0214); Vitamn A tillförd (H0316)",Kyld (J0131); Pastöriserad (J0135),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Fett >60% (Z0194)
Matfettsblandning fett 60 % berikad typ Bregott mellan,2012 Matfett,6,Bos taurus,Margarin och blandade fetter (A0807),Ko (B1201),Grädde - mjölkfett 18%> (C0195),"Halvfast med mjuk konsistens, (mosad, bredbar) (E0119)",Delvis värmebehandlad (F0018),Tillagningsmetod ej tillämplig (G0003),"Homogeniserad eller emulsifierad (H0306); Mjölk tillförd (H0184); Mjölksyra, andra kulturer fermenterad (H0107); Saltad (H0173); Vegetabiliskt fett eller olja tillfört (H0263); Vitamin D tillförd (H0214); Vitamn A tillförd (H0316)",Konserverad genom att tillföra kemikalie (J0100); Kyld (J0131),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Fett 46-60% (Z0195)
Bordsmargarin fett 70% berikad typ Milda,2010 Margariner,7,Bos taurus,Margarin och blandade fetter (A0807),Olje producerande planta (B1017),Olja från frön (C0307),"Halvfast med mjuk konsistens, (mosad, bredbar) (E0119)",Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),Alkalisera (H0206); Blekt- göra vit (H0197); Homogeniserad eller emulsifierad (H0306); Mjölk eller mjölkprodukt tillförd (H0297); Saltad (H0173); Vatten tillfört (H0148); Vegetabiliskt fett eller olja tillfört (H0263); Vitamin D tillförd (H0214); Vitamn A,Konserverad genom att tillföra kemikalie (J0100); Kyld (J0131),Utan förpackningsmedium (K0003),"Låda, box, ask (M0213); Plast (M0172)",Plast (N0036),Människoföda (P0026),Sverige (R0376),Fett 46-60% (Z0195)
Bordsmargarin extrasaltat fett 60% berikad typ Milda,2010 Margariner,8,Bos taurus,Margarin och blandade fetter (A0807),Olje producerande planta (B1017),Olja från frön (C0307),"Vätska, hög viskositet, utan synliga partiklar (olja) (E0139)",Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),Alkalisera (H0206); Blekt- göra vit (H0197); Homogeniserad eller emulsifierad (H0306); Mjölk eller mjölkprodukt tillförd (H0297); Saltad (H0173); Vatten tillfört (H0148); Vegetabiliskt fett eller olja tillfört (H0263); Vitamin D tillförd (H0214); Vitamn A,Konserverad genom att tillföra kemikalie (J0100); Kyld (J0131),Utan förpackningsmedium (K0003),"Låda, box, ask (M0213); Plast (M0172)",Plast (N0036),Människoföda (P0026),Sverige (R0376),Fett 46-60% (Z0195)
Bordsmargarin mjölkfri fett 60% berikad typ Milda,2010 Margariner,9,Bos taurus,Margarin och blandade fetter (A0807),Olje producerande planta (B1017),Olja från frön (C0307),"Halvfast med mjuk konsistens, (mosad, bredbar) (E0119)",Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),Alkalisera (H0206); Blekt- göra vit (H0197); Homogeniserad eller emulsifierad (H0306); Saltad (H0173); Vatten tillfört (H0148); Vegetabiliskt fett eller olja tillfört (H0263); Vitamin D tillförd (H0214); Vitamn A tillförd (H0316),Konserverad genom att tillföra kemikalie (J0100); Kyld (J0131),Utan förpackningsmedium (K0003),"Låda, box, ask (M0213); Plast (M0172)",Plast (N0036),Människoföda (P0026),Sverige (R0376),Fett 46-60% (Z0195)
Flytande margarin fett 82 % berikad typ Milda culinesse,2012 Matfett,10,Bos taurus,Margarin och blandade fetter (A0807),Olje producerande planta (B1017),Olja från frön (C0307),"Flytande, hög viskositet (trögflytande) (E0102)",Värmebehandlad (F0022),Tillagningsmetod ej tillämplig (G0003),Alkalisera (H0206); Blekt- göra vit (H0197); Homogeniserad eller emulsifierad (H0306); Saltad (H0173); Vatten tillfört (H0148); Vegetabiliskt fett eller olja tillfört (H0263); Vitamin A eller karotenoider tillförd (H0213); Vitamin D tillförd (H0214),Kyld (J0131),Utan förpackningsmedium (K0003),Flaska (M0214); Plast (M0172),Plast (N0036),Människoföda (P0026),Sverige (R0376),Fett >60% (Z0194)
