fineli_id	group_name	default	specific_tags	display_name	extra_tags	piece_weight	density_constant	example_brands	scientific_name	processing	classification	edible_portion	special_diets
31216	Adukibönor	TRUE	torkade	Adukibönor (torkade)	adukiböna		0.9		Vigna angularis	Torkat	Baljväxter	100 %	CHOLFREE, SOYAFREE, UNSWEET, NAGLUFRE, MILKFREE, LACSFREE, SALTFREE, LACVEGE, GLUTFREE, VEGAN, LACOVEGE, EGGFREE
28923	Ananas		färsk, med skal	Färsk ananas		900			Ananas comosus	Obehandlat	Övrig frukt	53 %	CHOLFREE, LOWPROT, LACSFREE, SALTFREE, LACVEGE, GLUTFREE, LACOVEGE, EGGFREE, SOYAFREE, UNSWEET, NAGLUFRE, MILKFREE, VEGAN
471	Ananas		konserv, i egen juice, burkananas, konservananas, burk, konserverad	Konserverad ananas (i egen juice)					Ananas comosus	Konserverat	Fruktkonserver	100 %	CHOLFREE, LOWPROT, LACSFREE, SALTFREE, LACVEGE, GLUTFREE, LACOVEGE, LOWLACS, EGGFREE, UNSWEET, SOYAFREE, NAGLUFRE, MILKFREE, VEGAN, FATFREE
417	Ananas		konserv, i sockerlag, burk, burkananas, konservananas, konserverad	Konserverad ananas (i sockerlag)					Ananas comosus	Konserverat	Fruktkonserver	100 %	CHOLFREE, LOWPROT, LACSFREE, SALTFREE, LACVEGE, GLUTFREE, LACOVEGE, LOWLACS, EGGFREE, SOYAFREE, NAGLUFRE, MILKFREE, VEGAN, FATFREE
11056	Ananas	TRUE	skalad	Färsk ananas	ananas, ananasar, burkananas, konservananas				Ananas comosus	Obehandlat	Övrig frukt	100 %	CHOLFREE, LOWPROT, LACSFREE, SALTFREE, LACVEGE, GLUTFREE, LACOVEGE, EGGFREE, SOYAFREE, UNSWEET, NAGLUFRE, MILKFREE, VEGAN, FATFREE
33077	Ananas		torkad	Torkad ananas						Torkat	Övrig frukt	100 %	SOYAFREE, UNSWEET, NAGLUFRE, MILKFREE, LACSFREE, SALTFREE, LACVEGE, GLUTFREE, VEGAN, LACOVEGE, EGGFREE
33268	Ananas		torkad, överdragen med yoghurt	Torkad ananas med yoghurttäcke						Industriellt	Övrig frukt	100 %	SOYAFREE, NAGLUFRE, LACVEGE, GLUTFREE, LACOVEGE, EGGFREE
438	Ananasjuice	TRUE	ananasjuice, vitamin c, ananas	Ananasjuice	ananas juice		1		Ananas comosus	Mosat	Juicer	100 %	CHOLFREE, LOWPROT, LACSFREE, SALTFREE, LOWCHOL, LACVEGE, GLUTFREE, LACOVEGE, LOWLACS, EGGFREE, UNSWEET, SOYAFREE, LOWSALT, NAGLUFRE, MILKFREE, LOWFAT, VEGAN, FATFREE
33884	Ananasjuice		ananas-morot, kalcium, vitamin c och d, probiotika, valio gefilus	Ananasjuice			1			Industriellt	Saftdrycker	100 %	CHOLFREE, LOWSALT, LACSFREE, MILKFREE, LACVEGE, LOWCHOL, LOWFAT, GLUTFREE, LACOVEGE, FATFREE, EGGFREE
829	Ansjovis	TRUE		Ansjovis	anjovisar				Engraulis encraciolus	Konserverat	Fiskprodukter	100 %	SOYAFREE, UNSWEET, NAGLUFRE, MILKFREE, LACSFREE, HIGHSALT, GLUTFREE, EGGFREE
11045	Apelsin	TRUE	skalad	Apelsin	apelsin, apelsinskal, apelsincest				Citrus sinensis	Obehandlat	Citrusfrukter	100 %	CHOLFREE, LOWPROT, LACSFREE, SALTFREE, LACVEGE, GLUTFREE, LACOVEGE, EGGFREE, SOYAFREE, UNSWEET, NAGLUFRE, MILKFREE, VEGAN, FATFREE
28924	Apelsin		med skal, apelsinskal, skal, apelsincest, cest	Apelsin		180			Citrus sinensis	Obehandlat	Citrusfrukter	72 %	CHOLFREE, LOWPROT, LACSFREE, SALTFREE, LACVEGE, GLUTFREE, LACOVEGE, EGGFREE, SOYAFREE, UNSWEET, NAGLUFRE, MILKFREE, VEGAN
33757	Apelsinjuice		apelsinjuice, 60 mg vitamin c	Apelsinjuice			1		Citrus sinensis	Mosat	Juicer	100 %	CHOLFREE, LOWPROT, LACSFREE, SALTFREE, LACVEGE, LOWCHOL, GLUTFREE, LACOVEGE, LOWLACS, EGGFREE, UNSWEET, SOYAFREE, NAGLUFRE, LOWSALT, MILKFREE, LOWFAT, VEGAN, FATFREE
11558	Apelsinjuice		apelsinjuice, kalcium	Apelsinjuice			1		Citrus sinensis	Industriellt	Juicer	100 %	CHOLFREE, LOWPROT, LACSFREE, SALTFREE, LOWCHOL, LACVEGE, GLUTFREE, LACOVEGE, LOWLACS, EGGFREE, UNSWEET, SOYAFREE, LOWSALT, NAGLUFRE, MILKFREE, LOWFAT, VEGAN, FATFREE
434	Apelsinjuice	TRUE	apelsinjuice, vitamin c	Apelsinjuice	apelsin juice		1		Citrus sinensis	Mosat	Juicer	100 %	CHOLFREE, LOWPROT, LACSFREE, SALTFREE, LOWCHOL, LACVEGE, GLUTFREE, LACOVEGE, LOWLACS, EGGFREE, UNSWEET, SOYAFREE, LOWSALT, NAGLUFRE, MILKFREE, LOWFAT, VEGAN, FATFREE
408	Aprikos		i sockerlag, konserv, konserverad, konservaprikos, burkaprikos	Aprikos i sockerlag					Prunus armeniaca	Konserverat	Fruktkonserver	100 %	CHOLFREE, LOWPROT, NAGLUFRE, MILKFREE, LACSFREE, SALTFREE, LACVEGE, GLUTFREE, VEGAN, LACOVEGE, FATFREE, EGGFREE
11054	Aprikos	TRUE	kärnfri	Aprikos	aprikos, konservaprikos, burkaprikos	40			Prunus armeniaca	Obehandlat	Äppelfrukt	100 %	CHOLFREE, LOWPROT, LACSFREE, SALTFREE, LACVEGE, GLUTFREE, LACOVEGE, EGGFREE, SOYAFREE, UNSWEET, NAGLUFRE, MILKFREE, VEGAN, FATFREE
28921	Aprikos		med kärna	Aprikos		50			Prunus armeniaca	Obehandlat	Äppelfrukt	94 %	CHOLFREE, LOWPROT, LACSFREE, SALTFREE, LACVEGE, GLUTFREE, LACOVEGE, EGGFREE, SOYAFREE, UNSWEET, NAGLUFRE, MILKFREE, VEGAN
409	Aprikos		torkad	Aprikos (torkad)		7			Prunus armeniaca	Torkat	Äppelfrukt	100 %	SOYAFREE, UNSWEET, NAGLUFRE, MILKFREE, LACSFREE, SALTFREE, LACVEGE, GLUTFREE, VEGAN, LACOVEGE, EGGFREE
31538	Aprikospuré	TRUE	sockerfri, vitamin c	Aprikospuré	aprikospuré					Mosat	Fruktkonserver	100 %	CHOLFREE, LOWPROT, LACSFREE, SALTFREE, LACVEGE, GLUTFREE, LACOVEGE, LOWLACS, EGGFREE, VITAMADD, UNSWEET, SOYAFREE, NAGLUFRE, MILKFREE, VEGAN, FATFREE
362	Aubergine	TRUE	äggplanta	Aubergine	aubergine, äggplanta, äggplantor	400			Solanum melongena	Obehandlat	Grönsaksfrukt	100 %	CHOLFREE, LOWPROT, LACSFREE, SALTFREE, LACVEGE, GLUTFREE, LACOVEGE, EGGFREE, SOYAFREE, UNSWEET, NAGLUFRE, MILKFREE, VEGAN
11057	Avokado		skalad, kärnfri	Avokado					Persea americana	Obehandlat	Övrig frukt	100 %	CHOLFREE, LOWPROT, LACSFREE, SALTFREE, LACVEGE, GLUTFREE, LACOVEGE, EGGFREE, SOYAFREE, UNSWEET, NAGLUFRE, MILKFREE, VEGAN
28933	Avokado	TRUE	med skal och kärna	Avokado	avokado, avokados	155			Persea americana	Obehandlat	Övrig frukt	71 %	CHOLFREE, LOWPROT, LACSFREE, SALTFREE, LACVEGE, GLUTFREE, LACOVEGE, EGGFREE, SOYAFREE, UNSWEET, NAGLUFRE, MILKFREE, VEGAN
33091	Avokadoolja	TRUE		Avokadoolja	avokadoolja, avokado-olja		0.9			Industriellt	Olja	100 %	SOYAFREE, UNSWEET, LOWSALT, NAGLUFRE, LACSFREE, MILKFREE, SALTFREE, LACVEGE, VEGAN, GLUTFREE, LACOVEGE, EGGFREE
707	Bacon	TRUE		Bacon	bacon, baconfilé, baconskiva, bacontärning					Rökt	Gris	100 %	SOYAFREE, UNSWEET, NAGLUFRE, MILKFREE, LACSFREE, LOWCHOL, HIGHSALT, GLUTFREE, EGGFREE
28947	Bacon		filé, fett 18 g, baconfilé	Baconfilé						Rökt	Gris	100 %	
530	Bakmargarin		bageriindustrimargarin 80% fett, bakning	Bakmargarin						Industriellt	Matlagnings- och industrifett	100 %	SOYAFREE, UNSWEET, LOWSALT, NAGLUFRE, LACSFREE, LACVEGE, GLUTFREE, LACOVEGE, EGGFREE
593	Bakmargarin	TRUE	80% fett	Bakmargarin	bakmargarin					Industriellt	Matlagnings- och industrifett	100 %	SOYAFREE, UNSWEET, NAGLUFRE, LACVEGE, GLUTFREE, LACOVEGE, EGGFREE
74	Bakpulver	TRUE		Bakpulver	bakpulver		1			Torkat	Hjälpämnen vid tillverkning	100 %	UNSWEET, SOYAFREE, NAGLUFRE, MILKFREE, LACSFREE, LACVEGE, GLUTFREE, VEGAN, LACOVEGE, EGGFREE
30274	Balkankorv	TRUE	21,5% fett	Balkankorv						Industriellt	Korv	100 %	NAGLUFRE, MILKFREE, LACSFREE, LOWCHOL, HIGHSALT, GLUTFREE, EGGFREE
30295	Balkankorv		lätt, 10% fett	Balkankorv						Industriellt	Korv	100 %	NAGLUFRE, LACSFREE, MILKFREE, LOWCHOL, LOWFAT, HIGHSALT, GLUTFREE, EGGFREE
