id	name	energi, beräknad (kJ)	kolhydrater, digererbara (g)	fett, totalt (g)	protein, totalt (g)	alkohol (g)	fiber, totalt (g)	organiska syror, totalt (g)	sockeralkoholer (g)	stärkelse, totalt (g)	sockerarter, totalt (g)	fruktos (g)	galaktos (g)	glukos (g)	laktos (g)	maltos (g)	sackaros (g)	polysackarider, icke-cellulosa, lösliga (g)	fiber, olöslig (g)	fettsyror, totalt (g)	fettsyror, fleromättade (g)	fettsyror, enkelomättade cis (g)	fettsyror, mättade (g)	fettsyror, trans (g)	fettsyror, n-3 fleromättade (g)	fettsyror, n-6 fleromättade (g)	fettsyra 18:2 cis,cis n-6 (linolsyra) (mg)	fettsyra 18:3 n-3 (alfa-linolensyra) (mg)	fettsyra 20:5 n-3 (EPA) (mg)	fettsyra 22:6 n-3 (DHA) (mg)	kolesterol (GC) (mg)	steroler, totalt (mg)	kalcium (mg)	järn (mg)	jodid (jod) (µg)	kalium (mg)	magnesium (mg)	natrium (mg)	salt (mg)	fosfor (mg)	selen (µg)	zink (mg)	tryptofan (mg)	folat, total (µg)	niacinekvivalenter (mg)	niacin (nikotinsyra+nikotinamid) (mg)	pyridoxin vitamerer (hydroklorid) (mg)	riboflavin (mg)	tiamin (vitamin B1) (mg)	vitamin B12 (kobalamin) (µg)	vitamin C (askorbinsyra) (mg)	vitamin A RAE (µg)	karotenoider, totalt (µg)	vitamin D (µg)	vitamin E, alfatokoferol (mg)	vitamin K, totalt (µg)
812	Abborre	345	0	0.7	18.8	0	0	0	0	0	0	0	N/A	0	0	0	0	0	0	0.5	0.2	0.2	0.1	<0.1	0.2	<0.1	15	8	40	80	92	0.3	109	0.3	34.5	330	26	45.6	116.2	240	28	0.8	230	6	7.8	4	00.22	00.07	00.07	1.9	0	6.4	0	15.2	1.5	0.8
747	Aladåb på kött	395	0	5	12.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.7	0.2	1.6	2.4	0.1	<0.1	0.2	139	28	0	0	20.7	0	6.6	0.9	18.7	116.3	7.8	664	1691.9	64.5	9.6	1.7	160	2	4.6	2	00.16	00.06	00.03	0.6	0	3.7	8.8	0.1	0.2	01.12
28923	Ananas, färsk, vägd med skal	123	5.9	0.2	0.3	0	0.7	0.3	0	0	5.9	0.7	N/A	1.2	0	0	4	<0.1	0.6	<0.1	<0.1	<0.1	<0.1	0	<0.1	<0.1	13	10	0	0	0	9	6.4	0.1	0.7	92.2	7.4	2.1	5.4	4.2	0.3	<0.1	3.2	2.6	0.3	0.3	00.05	00.01	00.04	0	16.2	2.6	31.8	0	<0.1	00.11
471	Ananas, konserv, i egen juice	220	11.2	0.1	0.4	0	1.4	0.6	0	0	11.2	1.4	N/A	2.3	0	0	7.5	0.1	1.2	<0.1	<0.1	<0.1	<0.1	0	<0.1	<0.1	24	18	0	0	0	17	9.8	1	1	104	12.4	5	12.7	6.8	0.5	0.1	5	9.2	0.4	0.3	00.09	<0.01	00.09	0	7.5	5	60	0	<0.1	0.2
417	Ananas, konserv, i sockerlag	308	16.6	0.1	0.5	0	1.2	0.3	0	0	16.6	4.8	0	6	0	0	5.8	0.2	1	<0.1	<0.1	<0.1	<0.1	0	<0.1	<0.1	4	11	0	0	0	8.5	20	0.3	1	120	17	2.1	5.3	17	0	0.1	5	1	0.4	0.3	00.08	00.02	00.07	0	9	1.6	21.5	0	<0.1	0.1
11056	Ananas, skalad	233	11.2	0.4	0.5	0	1.4	0.6	0	0	11.2	1.4	N/A	2.3	0	0	7.5	0.1	1.2	<0.1	<0.1	<0.1	<0.1	0	<0.1	<0.1	24	18	0	0	0	17	12	0.2	1.4	174	14	4	10.2	8	0.6	<0.1	6	5	0.6	0.5	00.09	00.02	00.08	0	30.6	5	60	0	<0.1	0.2
33077	Ananas, torkad	1288	67.9	0.6	2.8	0	7.1	0.6	0	0	67.9	17	0	13.6	0	0	37.3	N/A	N/A	0.3	0.2	<0.1	<0.1	0	<0.1	0.1	117	87	0	0	0	N/A	66	1.5	N/A	556	61	5	12.7	41	0.5	0.6	N/A	46	2.3	2.3	00.51	00.15	00.28	0	48.8	8	89	0	0.1	3.6
33268	Ananas, torkad, överdragen med yoghurt	1749	55.3	17	8.3	0	3.9	0.3	0	0	55.3	9.4	0	7.5	11.1	0	27.3	0	0	16.2	0.7	3.7	10	1.8	0.1	0.6	553	118	0	0	3.9	53.9	324	0.9	32.1	670.1	60.2	226.2	576.5	230.2	4.5	1.3	111.3	36.1	3.3	1.5	00.38	00.54	00.23	0.6	28.2	5.6	53.6	<0.1	0.9	12.21
829	Ansjovis	1076	9.6	11.4	28.9	0	0	N/A	N/A	0	9.6	0	N/A	0	0	0	9.6	0	0	10.2	3	4.2	3	0	2.7	0.2	175	146	768	1498	66.7	0	90	2.1	45	190	13	4140	10548.7	100	68	1.8	324	16	7.6	2.2	00.18	0.2	00.02	11	0	14.9	0	5.7	1	01.35
11045	Apelsin, skalad	191	8.9	0.1	0.6	0	2.1	0.6	0	0	8.9	2.7	N/A	2.6	0	0	3.6	1.2	1.2	0.1	<0.1	<0.1	<0.1	0	<0.1	<0.1	32	28	0	0	0.3	22.8	54	0.2	0.5	150	13	1.6	4.1	23	<0.1	0.1	8	26.5	0.5	0.4	00.09	00.04	00.09	0	51	7.4	166.8	0	0.4	0.1
