Livsmedelsnamn,Livsmedelsnummer,Energi (kcal),Energi (kJ),Kolhydrater (g),Fett (g),Protein (g),Fibrer (g),Vatten (g),Alkohol (g),Aska (g),Monosackarider (g),Disackarider (g),Sackaros (g),Fullkorn totalt (g),Sockerarter (g),Summa mättade fettsyror (g),Fettsyra 4:0-10:0 (g),Fettsyra 12:0 (g),Fettsyra 14:0 (g),Fettsyra 16:0 (g),Fettsyra 18:0 (g),Fettsyra 20:0 (g),Summa enkelomättade fettsyror (g),Fettsyra 16:1 (g),Fettsyra 18:1 (g),Summa fleromättade fettsyror (g),Fettsyra 18:2 (g),Fettsyra 18:3 (g),Fettsyra 20:4 (g),EPA (Fettsyra 20:5) (g),DPA (Fettsyra 22:5) (g),DHA (Fettsyra 22:6) (g),Kolesterol (mg),Retinol (µg),Vitamin A (µg),β-Karoten (µg),Vitamin D (µg),Vitamin E (mg),Vitamin K (µg),Tiamin (mg),Riboflavin (mg),Vitamin C (mg),Niacin (mg),Niacinekvivalenter (mg),Vitamin B6 (mg),Vitamin B12 (µg),Folat (µg),Fosfor (mg),Jod (µg),Järn (mg),Kalcium (mg),Kalium (mg),Magnesium (mg),Natrium (mg),Salt (g),Selen (µg),Zink (mg),Avfall (skal etc.) (%),Projekt,Vetenskapligt namn,Livsmedelsgrupp enligt EuroFIR,Artklassificering,Del av växt/djur,Fysisk form,Värmebehandling,Tillagningsmetod,Industriell process,Konserveringsmetod,Förpackningsmedium,Förpackningstyp,Förpackningsmaterial,Etikettinformation,Ursprung,Utmärkande drag,Exempelvis,Visningsnamn,Söksträngar
Talg nöt,1,656.3,2746,0,71,7,0,21.7,0,0.3,0,0,0,0,0,35.8,0,0.07,3.17,20.2,10.8,0.47,28.8,2.56,25.3,2.76,2.43,0.27,0,0,0,0,109,19,22,36,0.1,0.6,NULL,0,0,0,0,1.28,0,0,1,7,NULL,0.3,0,6,3,10.5,0.03,1,0.1,0,1997 Nötkött,Bos taurus,Andra djurfetter (A0810),Nötkreatur (B1161),Fett eller olja (C0190),"Halvfast med mjuk konsistens, (mosad, bredbar) (E0119)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Industriell process inte känd (H0001),Kyld (J0131),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),,,Talg,talg
Späck gris,2,763,3192.6,0,85,2.8,0,11.1,0,0.7,0,0,0,0,NULL,32.8,0,0.08,1.05,20.7,10.6,0.24,38.5,2.34,35.2,9.03,7.82,0.73,0,0,0,0,57,4,4,0,0.6,0.7,NULL,0.05,0.07,0,0.5,1.01,0.02,0.6,1,26,NULL,0.2,4,65,1,11,0.03,5,0.4,0,1989,Sus scrofa,Andra djurfetter (A0810),Gris (B1136),Kött del (C0103),"Halvfast med mjuk konsistens, (mosad, bredbar) (E0119)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Industriell process inte känd (H0001),Kyld (J0131),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),,,Späck,späck
Ister gris,3,884.3,3700,0,100,0,0,0,0,0,0,0,0,0,NULL,48.8,0,0.1,1.53,26.7,20,0.19,37.5,2.01,34.1,9.37,7.93,0.67,0,0,0.19,0.29,95,9,9,0,0,1.2,NULL,0,0,0,0,0,0,0,0,3,NULL,0.1,1,1,1,2,0.01,7,0.1,0,1989,Sus scrofa,Andra djurfetter (A0810),Gris (B1136),Fett eller olja (C0190),"Halvfast med mjuk konsistens, (mosad, bredbar) (E0119)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Industriell process inte känd (H0001),Kyld (J0131),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),,,Ister,ister
Kokosfett,4,884.3,3700,0,100,0,0,0,0,0,0,0,0,0,NULL,92,13,46.3,18.7,9.6,3,0,6,0,7.2,2,1.8,0,0,0,0,0,0,NULL,0,0,0,11,NULL,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,2010 Margariner,Cocos nucifera L,Vegetabiliskt fett och olja (A0806),Kokosnöt (B1536),Fett eller olja (C0190),"Halvfast med mjuk konsistens, (mosad, bredbar) (E0119)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Industriell process inte känd (H0001),Kyld (J0131),Utan förpackningsmedium (K0003),Aluminiumfolie (M0190),Aluminium (),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),,,Kokosfett,kokosfett
Matfettsblandning havssaltat fett 80% berikad typ Bregott,5,711.5,2977,0.5,80,0.5,0,17.47,0,1.53,0,0.4,0,0,NULL,39.21,6.4,2.01,5.98,17.25,6.54,0.27,26.47,0.86,24.53,8.48,6.07,2.41,0,0,0,0,180,900,919.2,230,10,6.81,NULL,0.01,0.02,0,0.1,0.22,0.01,0.1,3,26,NULL,0.2,18,20,3,800,2,0,0.1,0,2001 Margarinprodukter,Bos taurus,Margarin och blandade fetter (A0807),Ko (B1201),Grädde el gräddkomponent (C0123),"Halvfast med mjuk konsistens, (mosad, bredbar) (E0119)",Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),"Alkalisera (H0206); Blekt- göra vit (H0197); Homogeniserad eller emulsifierad (H0306); Mjölksyra, andra kulturer fermenterad (H0107); Saltad (H0173); Vatten tillfört (H0148); Vitamin D tillförd (H0214); Vitamn A tillförd (H0316)",Kyld (J0131); Pastöriserad (J0135),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Fett >60% (Z0194),Bregott havssalt,Smör havssaltat,"bregott 80%, bregott havssalt, bregott havssaltat"
Matfettsblandning fett 60 % berikad typ Bregott mellan,6,534.2,2235.3,0.5,60,0.4,0,38.1,0,1,0,0.5,0,0,NULL,26.57,3.79,1.24,3.96,12.13,3.91,0.19,22.44,0.65,20.86,7.92,5.37,2.44,0.04,0,0,0,124.8,745,761.6,199,9.68,6.54,30.7,0,0,0,0,0.1,0,0,0,0,NULL,0,0,0,0,400,1,0,0,0,2012 Matfett,Bos taurus,Margarin och blandade fetter (A0807),Ko (B1201),Grädde - mjölkfett 18%> (C0195),"Halvfast med mjuk konsistens, (mosad, bredbar) (E0119)",Delvis värmebehandlad (F0018),Tillagningsmetod ej tillämplig (G0003),"Homogeniserad eller emulsifierad (H0306); Mjölk tillförd (H0184); Mjölksyra, andra kulturer fermenterad (H0107); Saltad (H0173); Vegetabiliskt fett eller olja tillfört (H0263); Vitamin D tillförd (H0214); Vitamn A tillförd (H0316)",Konserverad genom att tillföra kemikalie (J0100); Kyld (J0131),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Fett 46-60% (Z0195),Bregott mellan,Smör mellan,"bregott mellan, bregott 80%"
Bordsmargarin fett 70% berikad typ Milda,7,621,2598.5,0.3,70,0.2,0,28.3,0,0.9,0,0.3,0,0,NULL,23,0.3,3.8,1.3,13.3,2.1,0,29,0,29.1,18,14.5,4.3,0,0,0,0,0,NULL,800,NULL,10,11,NULL,0,0,0,0,0.03,0,0,0,0,NULL,0,0,0,0,360,0.9,0,0,0,2010 Margariner,Bos taurus,Margarin och blandade fetter (A0807),Olje producerande planta (B1017),Olja från frön (C0307),"Halvfast med mjuk konsistens, (mosad, bredbar) (E0119)",Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),Alkalisera (H0206); Blekt- göra vit (H0197); Homogeniserad eller emulsifierad (H0306); Mjölk eller mjölkprodukt tillförd (H0297); Saltad (H0173); Vatten tillfört (H0148); Vegetabiliskt fett eller olja tillfört (H0263); Vitamin D tillförd (H0214); Vitamn A,Konserverad genom att tillföra kemikalie (J0100); Kyld (J0131),Utan förpackningsmedium (K0003),"Låda, box, ask (M0213); Plast (M0172)",Plast (N0036),Människoföda (P0026),Sverige (R0376),Fett 46-60% (Z0195),Milda,Bordsmargarin,"milda, milda 70%, bordsmargarin"
Bordsmargarin extrasaltat fett 60% berikad typ Milda,8,532.6,2228.5,0.3,60,0.2,0,38.3,0,1.2,0,0.3,0,0,NULL,20,0.3,3.2,1.1,11.4,1.8,0,25,0,24.9,15,12.4,3.7,0,0,0,0,0,NULL,800,NULL,10,11,NULL,0,0,0,0,0.03,0,0,0,0,NULL,0,0,0,0,480,1.2,0,0,0,2010 Margariner,Bos taurus,Margarin och blandade fetter (A0807),Olje producerande planta (B1017),Olja från frön (C0307),"Vätska, hög viskositet, utan synliga partiklar (olja) (E0139)",Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),Alkalisera (H0206); Blekt- göra vit (H0197); Homogeniserad eller emulsifierad (H0306); Mjölk eller mjölkprodukt tillförd (H0297); Saltad (H0173); Vatten tillfört (H0148); Vegetabiliskt fett eller olja tillfört (H0263); Vitamin D tillförd (H0214); Vitamn A,Konserverad genom att tillföra kemikalie (J0100); Kyld (J0131),Utan förpackningsmedium (K0003),"Låda, box, ask (M0213); Plast (M0172)",Plast (N0036),Människoföda (P0026),Sverige (R0376),Fett 46-60% (Z0195),Milda extrasaltat,Bordsmargarin extrasaltat,"milda extrasaltat, bordsmargarin extrasaltat"
Bordsmargarin mjölkfri fett 60% berikad typ Milda,9,530.6,2220,0,60,0,0,39.1,0,0.9,0,0,0,0,NULL,20,0.3,3.2,1.1,11.4,1.8,0,25,0,24.9,15,12.4,3.7,0,0,0,0,0,NULL,800,NULL,10,11,NULL,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,360,0.9,0,0,0,2010 Margariner,Bos taurus,Margarin och blandade fetter (A0807),Olje producerande planta (B1017),Olja från frön (C0307),"Halvfast med mjuk konsistens, (mosad, bredbar) (E0119)",Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),Alkalisera (H0206); Blekt- göra vit (H0197); Homogeniserad eller emulsifierad (H0306); Saltad (H0173); Vatten tillfört (H0148); Vegetabiliskt fett eller olja tillfört (H0263); Vitamin D tillförd (H0214); Vitamn A tillförd (H0316),Konserverad genom att tillföra kemikalie (J0100); Kyld (J0131),Utan förpackningsmedium (K0003),"Låda, box, ask (M0213); Plast (M0172)",Plast (N0036),Människoföda (P0026),Sverige (R0376),Fett 46-60% (Z0195),Milda mjölkfri,Bordsmargarin mjölkfritt,"milda mjölkfri, milda mjölkfritt"
Flytande margarin fett 82 % berikad typ Milda culinesse,10,721.1,3017,0,82,0,0,16.7,0,1.32,0,0,0,0,NULL,7.29,0,0,0.08,3.61,2.12,0.55,42.49,0.16,41,28.66,19.75,8.83,0,0,0,0,0,645,693.1,577,10.5,23.7,70.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,1.5,0,0,0,2012 Matfett,Bos taurus,Margarin och blandade fetter (A0807),Olje producerande planta (B1017),Olja från frön (C0307),"Flytande, hög viskositet (trögflytande) (E0102)",Värmebehandlad (F0022),Tillagningsmetod ej tillämplig (G0003),Alkalisera (H0206); Blekt- göra vit (H0197); Homogeniserad eller emulsifierad (H0306); Saltad (H0173); Vatten tillfört (H0148); Vegetabiliskt fett eller olja tillfört (H0263); Vitamin A eller karotenoider tillförd (H0213); Vitamin D tillförd (H0214),Kyld (J0131),Utan förpackningsmedium (K0003),Flaska (M0214); Plast (M0172),Plast (N0036),Människoföda (P0026),Sverige (R0376),Fett >60% (Z0194),Milda culinesse,Flytande margarin,"milda culinesse, flytande margarin"
