lmv_id	group_name	default	specific_tags	display_name	extra_tags	piece_weight	density_constant	example_brands	scientific_name
829	Bulgur	TRUE		Bulgur	bulgurvete		0.8		Triticum aestivum L.
3564	Bulgur		fullkorn, kokt	Bulgur			0.9		Triticum ispahanicum Heslot ssp. durum
3136	Bulgur		kokt	Bulgur			0.9		Triticum aestivum L. ssp. aestivum
2477	Jasminris	TRUE		Jasminris	jasmin ris		0.85		Oryza sativa L.
2514	Jasminris		kokt	Jasminris			0.9		Oryza sativa L.
2475	Basmatiris	TRUE		Basmatiris	basmati ris, basmati		0.85		Oryza sativa L.
2513	Basmatiris		kokt	Basmatiris			0.9		Oryza sativa L.
1893	Farinsocker	TRUE	brunt	Farinsocker	brunt farin, farin		0.75		Beta vulgaris L. var. altissima Döll.
554	Björnbär	TRUE		Björnbär		6	0.5		Rubus fruticosus L.
591	Björnbär		frysta	Björnbär		6	0.5		Rubus fruticosus L.
592	Björnbär		frysta, sockrade	Björnbär		6	0.5		Rubus fruticosus L.
1802	Björnbärssylt	TRUE		Björnbärssylt	bjönbärs sylt		1.25		Rubus fruticosus L.
572	Lime	TRUE		Lime	limefrukt, limefrukter, limecest, limeskal	85			Citrus aurantiifolia
652	Limejuice	TRUE	färskpressad	Limejuice	limesaft, saft från lime		1		Citrus aurantiifolia
657	Limejuice		konserv, koncentrerad	Limejuice			1		Citrus aurantiifolia
3818	Hamburgerbröd	TRUE		Hamburgerbröd	hamburger bröd	56		korvbrödsbagarn	Triticum aestivum L.
3825	Hamburgerbröd		grovt, grov	Hamburgerbröd (grovt)		56		korvbrödsbagarn	Triticum aestivum L.
1395	Räkor	TRUE		Räkor	räka, räkor med lag	14			Pandalus borealis
1401	Räkor		kokta	Räkor (kokta)		14			Pandalus borealis
1399	Räkor		burk, på burk, konserv, med lag	Räkor (burk med lag)		14			Pandalus borealis
1400	Räkor		burk, på burk, konserv, utan lag	Räkor (burk utan lag)		14			Pandalus borealis
1404	Räkor		friterade	Friterade räkor		14			Pandalus borealis
1968	Chilisås	TRUE	tomat	Chilisås	chili sås		1.3		Lycopersicon esculentum Mill.
380	Chilipeppar	TRUE	färsk	Chilipeppar	chili, chilifrukt, chilifrukter, chilipeppar	10			Capsicum sp
1626	Maräng	TRUE		Maräng	maränger	6			Beta vulgaris L. var. altissima Döll.
1686	Digestivekex	TRUE		Digestivekex	digestive-kex, digestive, kex				Triticum aestivum L.
76	Kesella	TRUE		Kesella			1		Bos taurus
1967	Äppelcidervinäger	TRUE		Äppelcidervinäger	äppelcider vinäger, äppelcider-vinäger		1		Malus domestica
38	Sesamolja	TRUE		Sesamolja	sesam olja		0.9		Sesamum indicum L.
70	Keso	TRUE	4% fett	Keso	cottage cheese		1		Bos taurus
71	Keso		3% fett, ananas, apelsin	Keso (smaksatt)			1		Bos taurus
72	Keso		3.5-5% fett, chili, pesto, lök, feta	Keso (smaksatt)			1		Bos taurus
3817	Svarta bönor	TRUE	konserv	Svarta bönor	svart böna				Phaseolus vulgaris L. ssp. vulgaris
4937	Körsbärstomat	TRUE		Körsbärstomater	körsbärstomater, cocktailtomat, cocktailtomater, cherrytomat, cherrytomater, plommontomat, plommontomater	18			Solanum lycopersicum var. cerasiforme (Alef.) Fosberg
2221	Lasagneplattor	TRUE	fusilli, glutenfri, okokt	Lasagneplattor	lasagne plattor, lasagneplatta	20			Zea mays L.
